name,type,latitude,longitude
Amprenta Design,LOG,46.786189,24.727049
Benitrans,LOG,46.960255,22.84306
CMV FOREST,LOG,46.75584,23.37357
COSTEL CONSTRUCT,LOG,46.536498,23.726511
CORION FAG FOREST,LOG,47.20039,23.318067
DARIEXPLO,LOG,46.956301,25.114001
Darion Bradatelu,LOG,46.756767,25.05358
DINFOREST Bistra,LOG,46.961511,24.906667
EUCALIPT PRODCOM,LOG,46.900742,24.808114
EUROCIP IMP EXP 1 Bologa,LOG,46.859332,22.867148
FOREST LAND,LOG,46.86438,23.036671
Floridor Impex,LOG,47.083157,22.222378
GELUTRANSEXPLOR,LOG,46.76296,24.692067
HORNFOREST,LOG,46.759411,25.037928
IMIOCOM,LOG,46.79879,24.963735
LUPUTRANS,LOG,46.778041,24.728216
MIDWEST COM,LOG,46.771082,24.843193
OCSI FOREST,LOG,46.780086,24.728074
OLIION FOREST,LOG,46.97093,25.148335
PETRYCRIS,LOG,46.760231,25.031278
RADAN SERV,LOG,46.95372,25.09876
Strinapoli,LOG,46.087631,22.026086
VIPTRANS,LOG,46.771508,24.841574
Balindru,LOG,45.439343,23.941615
Dobos,LOG,45.718058,24.082458
Ema Silva Depozit Sebes INCHIS,LOG,45.945325,23.557544
Expogedava,LOG,45.378367,23.993762
Expotrans NMN,LOG,45.94253,23.557271
Florest Radutiu,LOG,45.612854,24.025049
Forest Group,LOG,45.675874,24.218781
Gater Concept,LOG,45.165895,24.846769
Generaly Crys Trans,LOG,45.17252,24.68072
Hlv Transilvania,LOG,45.968571,23.558706
Holz Impex,LOG,45.741038,23.982275
Ioni Forest,LOG,45.74079,23.98265
Lenory,LOG,45.368194,24.011303
LTC Transilvania,LOG,45.718095,24.082856
Ludfor,LOG,45.752418,23.976973
Mario Forest,LOG,45.64238,24.089279
Marytrans Cis,LOG,45.65728,24.27355
Miradex,LOG,45.340516,24.277526
Mirubrad,LOG,45.4289758,23.9801459
Mosneni Mlaceni,LOG,45.387264,24.438252
Nival Com,LOG,45.64246,24.089766
OS Miercurea SB,LOG,45.961209,23.580378
OSP Gura Raului,LOG,45.716131,23.943753
Pado Prod,LOG,45.353784,24.032966
Padurea Neagra,LOG,45.61499,24.04321
Pantuta,LOG,45.657148,24.272571
Pinu Import Export,LOG,45.761402,23.973561
Platanus,LOG,45.429913,23.939748
Priboioasa,LOG,45.349767,24.142633
Silva Forest Company 1  Curatele,LOG,45.68059,24.163917
